,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Tryon Public House,40.86512287220103,-73.92800419170122,Pub
1,Tannat Wine And Cheese,40.864853,-73.92839,Wine Bar
2,Kuro Kirin,40.866223,-73.925691,Coffee Shop
3,Corcho Wine Room,40.86594036147255,-73.92785766280903,Wine Bar
4,Mama Sushi,40.86618917132836,-73.92796253013401,Sushi Restaurant
5,Aroma Seafood Grill,40.86559122689346,-73.92695968195365,Latin American Restaurant
6,Dyckman Bar,40.865663827627024,-73.92760509694848,Cocktail Bar
7,The Park View,40.865602705860844,-73.92760823553311,Restaurant
8,Seawalk Restaurant,40.866807,-73.92823,Seafood Restaurant
9,Nail Lounge,40.865230777369035,-73.92759700274382,Cosmetics Shop
10,Don Coqui,40.86444356723799,-73.92674080338057,Latin American Restaurant
11,Mamajuana Cafe,40.866297329460394,-73.92810374659165,Spanish Restaurant
12,Starbucks,40.865546351153135,-73.92733389802066,Coffee Shop
13,Pop N Pour,40.864990630479745,-73.92696493661617,Wine Bar
14,Broadyke Meat Market & Deli,40.86560046667547,-73.92703053565208,Deli / Bodega
15,Maja's Tapas & Bar,40.865882122312144,-73.92781601781147,Bar
16,Tonnie's Minis Cupcake Bar,40.86489673619212,-73.92831087112427,Cupcake Shop
17,Anne Loftus Playground,40.865052938461304,-73.92874002456665,Playground
18,The UPS Store,40.8655064,-73.9265978,Shipping Store
19,GNC,40.864469819406786,-73.92651879035985,Supplement Shop
20,Papasito Mexican Grill And Agave Bar,40.86579331346859,-73.92760577932654,Mexican Restaurant
21,Il Sole,40.86601463557048,-73.9278209600476,Italian Restaurant
22,Albert's Mofongo House,40.86557731741317,-73.92700260434661,Spanish Restaurant
23,Capital One Bank,40.8653460151691,-73.92678901083406,Bank
24,Subway,40.864242543425206,-73.92678128072873,Sandwich Place
25,Fine Fare,40.865754899774615,-73.92655697967368,Supermarket
26,Pat' e Palo,40.866411,-73.928506,Latin American Restaurant
27,The Uptown Garrison,40.85125539385438,-73.93947295544035,Restaurant
28,Le Chéile,40.85145903601843,-73.93998920917511,Café
29,Saggio Restaurant,40.85142251681508,-73.93976122140884,Italian Restaurant
30,Tampopo Ramen,40.85069287922829,-73.93656823814172,Ramen Restaurant
31,Jin's Superette,40.85098865024419,-73.93851430188998,Deli / Bodega
32,Café Bark,40.851353,-73.939896,Pet Café
33,Cabrini Wines,40.85129218870419,-73.93971626183753,Wine Shop
34,Forever Coffee Bar,40.85043253392718,-73.93660674414312,Coffee Shop
35,181st St Bakery & Deli,40.85101361568652,-73.93859158137181,Bakery
36,Hudson View Restaurant,40.850888432086236,-73.93823069541277,Breakfast Spot
37,Yo Sweets,40.85083131851628,-73.9378569165125,Frozen Yogurt Shop
38,Bennett Wines & Liquor,40.85045575462591,-73.93676854425944,Liquor Store
39,181 Gourmet Deli,40.851095815370044,-73.93892661241044,Deli / Bodega
