,Venue,Venue Postal Code,Venue Latitude,Venue Longitude,Venue Category
0,Indian Road Café,10034,40.87292174447656,-73.91845881138549,Café
1,Park Terrace Deli,10034,40.87133523036428,-73.91445022648493,Deli / Bodega
2,la essencia,10034,40.87087865541612,-73.91488733712168,Caribbean Restaurant
3,Twin Donut,10034,40.87107675577189,-73.91447407600472,Donut Shop
4,Brown Sugar,10034,40.86988290490449,-73.91558637557614,Cuban Restaurant
5,El Nuevo Sabor Restaurante,10034,40.86936327156677,-73.91547771966802,Restaurant
6,Ming Moon Buffet,10034,40.86996841430664,-73.9152603149414,Chinese Restaurant
7,Guacamole,10034,40.869659000000006,-73.916736,Mexican Restaurant
8,Carrot Top Pastries,10034,40.86931876074507,-73.9164306865981,Bakery
9,Fort Tryon Cafe & Grill,10034,40.869304489744984,-73.91590926235688,American Restaurant
10,G's Coffee Shop,10034,40.86841792395646,-73.92174351734803,Diner
11,Inwood Gourmet,10034,40.86859393673214,-73.92136081974698,Deli / Bodega
12,Inwood Bagels,10034,40.86820592639018,-73.92156498919998,Bagel Shop
13,ChocNYC,10034,40.86839571994423,-73.91874220036571,Bakery
14,Garden Cafe,10034,40.868050488858266,-73.92047699521964,Café
15,Cafe De Broadway,10034,40.868299986514465,-73.91892779692039,Café
16,Grandpa's Brick Oven Pizza,10034,40.86821549098444,-73.9194188234502,Pizza Place
17,Yummy Thai,10034,40.868003614105405,-73.92049837120057,Thai Restaurant
18,Made in Mexico,10034,40.86727537546098,-73.91708993197774,Mexican Restaurant
19,Viale NYC,10034,40.86736,-73.917282,Italian Restaurant
20,Monkey Brothers Lab,10034,40.86766713902402,-73.91707470986586,Food Truck
21,El Lindon,10034,40.867239,-73.917537,Spanish Restaurant
22,Pizza Haven,10034,40.86411366057051,-73.91063308508329,Pizza Place
23,Mac Truck,10022,40.85372749277068,-73.87755468987766,Food Truck
24,Fidel's Gourmet Deli,10034,40.86756287985037,-73.92438592402836,Deli / Bodega
25,My Deli Grocery,10034,40.867527561063554,-73.92437105394646,Deli / Bodega
26,Guadalupe Bar and Grill,10034,40.86733441190966,-73.92086276373738,Mexican Restaurant
27,The Tubby Hook,10034,40.86781567865924,-73.92073897853041,American Restaurant
28,Inwood Bar and Grill,10034,40.86704379362675,-73.92257045428569,Restaurant
29,Pick & Eat,10034,40.867614321517934,-73.92125256169876,American Restaurant
30,"""U"" Like",10034,40.8675317158944,-73.92156645636662,Chinese Restaurant
31,La Nueva España,10034,40.867350131336806,-73.92103186934894,Spanish Restaurant
32,Capitol Restaurant,10034,40.867680702616305,-73.92145899433105,Diner
33,Dunkin',10034,40.86765691573932,-73.9208237567459,Donut Shop
34,Pizza Haven,10034,40.867700332382896,-73.92081231604527,Pizza Place
35,Amy's Restaurant,10034,40.866931,-73.921094,Dumpling Restaurant
36,Inwood Thai,10034,40.866931,-73.921094,Thai Restaurant
37,Tropical Rotisserie Chicken,10034,40.8677032561812,-73.92124270636728,Latin American Restaurant
38,fantastic lounge,10034,40.866296999999996,-73.919626,Latin American Restaurant
39,Bizcocho De Colores,10034,40.866035195034456,-73.91939635323097,Bakery
40,Subway,10034,40.867259999999995,-73.92061700000001,Sandwich Place
41,La Casa Del Mofongo,10034,40.865983,-73.920486,Spanish Restaurant
42,Raices Raicesnyc,10034,40.866422,-73.920231,Restaurant
43,Dunkin',10034,40.86613889931998,-73.91825349390001,Donut Shop
44,Junior's Tacos tex-Mex Grill,10034,40.865908000000005,-73.918702,Mexican Restaurant
45,Green Kitchen,10034,40.86913605277453,-73.93115712662332,Diner
46,The Hudson,10033,40.868854999999996,-73.93205999999999,BBQ Joint
47,Dyckman Landing,10034,40.86922605399806,-73.93202970914079,Café
48,SUBWAY,10034,40.868571,-73.930919,Sandwich Place
49,Seawalk Restaurant,10034,40.866807,-73.92823,Seafood Restaurant
50,La Reina Del Chicharron,10034,40.866356651741405,-73.92501189872718,Spanish Restaurant
51,Beans & Vines,10034,40.86640788754024,-73.92482802288949,Café
52,Lotus Express,10034,40.866279999999996,-73.92456700000001,Chinese Restaurant
53,Domino's Pizza,10034,40.8663161,-73.9256244,Pizza Place
54,Caridad Restaurant,10034,40.866463,-73.925432,Caribbean Restaurant
55,Bocaditos Bistro,10034,40.867118,-73.923829,Bistro
56,Genesis Autentica Comida Ecuatoriana,10034,40.8654980859935,-73.91984190208424,Restaurant
57,Empanadas Monumental,10034,40.86524925422833,-73.91967324208582,Empanada Restaurant
58,Little Caesars Pizza,10034,40.86534118652344,-73.91950988769531,Pizza Place
59,kennedy's fried chicken,10034,40.86522348794737,-73.91992227637344,Fast Food Restaurant
60,Milagros,10034,40.8655891418457,-73.92162322998047,Deli / Bodega
61,Cafe Kolmaro,10034,40.864746000000004,-73.922005,Café
62,El Tina Seafood Restaurant,10034,40.86445981289547,-73.91909750842994,Seafood Restaurant
63,John's Fried Chicken,10034,40.864795924590695,-73.91947030101764,Fast Food Restaurant
64,Azteca,10009,40.864,-73.91912427302933,Mexican Restaurant
65,Jimbo's,10034,40.864432382908255,-73.91885747678715,Burger Joint
66,Floridita Resturant,10034,40.86397082388327,-73.91935389423473,Caribbean Restaurant
67,Soup Man,10034,40.86376190185547,-73.91832733154297,Soup Place
68,El Peluche,10034,40.863821824480624,-73.91687951224768,Latin American Restaurant
69,Bobby's Fish,10034,40.86347,-73.917125,Food Truck
70,El Primero Y El Mejor Chimi Truck,10034,40.863869346550594,-73.9169426644397,Food Truck
71,Cloisters Deli,10034,40.866621,-73.93061889,Deli / Bodega
72,Mama Sushi,10034,40.86618917132836,-73.92796253013401,Sushi Restaurant
73,Mamajuana Cafe,10034,40.866297329460394,-73.92810374659165,Spanish Restaurant
74,Papasito Mexican Grill And Agave Bar,10034,40.86579331346859,-73.92760577932654,Mexican Restaurant
75,Il Sole,10034,40.86601463557048,-73.9278209600476,Italian Restaurant
76,Mangu Packing District (NYC).,10034,40.86632907839515,-73.92740630894168,Restaurant
77,William's Grocery,10034,40.86665344238281,-73.92835235595703,Deli / Bodega
78,Mamajuana,10034,40.866539001464844,-73.92821502685547,Latin American Restaurant
79,Pat' e Palo,10034,40.866411,-73.928506,Latin American Restaurant
80,Pat e Pablo,10034,40.86651103335724,-73.92834416942362,Spanish Restaurant
81,Nostylgia,10034,40.866601,-73.92798499999999,Café
82,The Park View,10034,40.865602705860844,-73.92760823553311,Restaurant
83,Aroma Seafood Grill,10034,40.86559122689346,-73.92695968195365,Latin American Restaurant
84,Broadyke Meat Market & Deli,10034,40.86560046667547,-73.92703053565208,Deli / Bodega
85,Albert's Mofongo House,10034,40.86557731741317,-73.92700260434661,Spanish Restaurant
86,"Tony's Pizza, Pasta & Gyro",10034,40.86560754204715,-73.92685055478195,Pizza Place
87,Republica,10034,40.864979,-73.923078,Restaurant
88,Maracas Steak House,10034,40.864325,-73.923627,Steakhouse
89,Canave,10040,40.86442,-73.9289,Mexican Restaurant
90,Don Coqui,10040,40.86444356723799,-73.92674080338057,Latin American Restaurant
91,Dyckman Bakery Dominicano,10040,40.864197628026076,-73.92660055812215,Bakery
92,Subway,10040,40.864242543425206,-73.92678128072873,Sandwich Place
93,Subway Sandwiches,10040,40.86427849999999,-73.92653333333334,Food
94,Popeyes / Burger King Combo,10040,40.864006,-73.926216,Fast Food Restaurant
95,Ceci Restaurant,10040,40.863639,-73.926662,Latin American Restaurant
96,Pizza Palace,10040,40.86241431329755,-73.92513383067055,Pizza Place
97,Siete Tacos,10034,40.863739,-73.925539,Mexican Restaurant
98,Viva's Tapa & Lounge,10040,40.863048,-73.926581,Tapas Restaurant
99,Dunkin',10040,40.862428753369905,-73.92553858240814,Donut Shop
