,Postal Code,Afghan Restaurant,African Restaurant,American Restaurant,Arepa Restaurant,Argentinian Restaurant,Asian Restaurant,Australian Restaurant,Austrian Restaurant,BBQ Joint,Bagel Shop,Bakery,Belgian Restaurant,Bistro,Brazilian Restaurant,Breakfast Spot,Buffet,Burger Joint,Burrito Place,Cafeteria,Café,Cajun / Creole Restaurant,Cantonese Restaurant,Caribbean Restaurant,Caucasian Restaurant,Cha Chaan Teng,Chaat Place,Chinese Restaurant,Churrascaria,Colombian Restaurant,Comfort Food Restaurant,Creperie,Cuban Restaurant,Czech Restaurant,Deli / Bodega,Dim Sum Restaurant,Diner,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Egyptian Restaurant,Empanada Restaurant,English Restaurant,Ethiopian Restaurant,Falafel Restaurant,Fast Food Restaurant,Filipino Restaurant,Fish & Chips Shop,Fondue Restaurant,Food,Food Court,Food Stand,Food Truck,French Restaurant,Fried Chicken Joint,Gastropub,German Restaurant,Gluten-free Restaurant,Greek Restaurant,Halal Restaurant,Hawaiian Restaurant,Himalayan Restaurant,Hot Dog Joint,Hotpot Restaurant,Hunan Restaurant,Indian Chinese Restaurant,Indian Restaurant,Indonesian Restaurant,Irish Pub,Israeli Restaurant,Italian Restaurant,Japanese Curry Restaurant,Japanese Restaurant,Jewish Restaurant,Kebab Restaurant,Korean Restaurant,Kosher Restaurant,Latin American Restaurant,Lebanese Restaurant,Malay Restaurant,Mediterranean Restaurant,Mexican Restaurant,Middle Eastern Restaurant,Modern European Restaurant,Molecular Gastronomy Restaurant,Moroccan Restaurant,New American Restaurant,Noodle House,North Indian Restaurant,Paella Restaurant,Pakistani Restaurant,Peking Duck Restaurant,Persian Restaurant,Peruvian Restaurant,Pet Café,Pizza Place,Poke Place,Portuguese Restaurant,Poutine Place,Ramen Restaurant,Restaurant,Russian Restaurant,Salad Place,Sandwich Place,Scandinavian Restaurant,Seafood Restaurant,Shabu-Shabu Restaurant,Shanghai Restaurant,Snack Place,Soba Restaurant,Soup Place,South American Restaurant,South Indian Restaurant,Southern / Soul Food Restaurant,Souvlaki Shop,Spanish Restaurant,Sri Lankan Restaurant,Steakhouse,Sushi Restaurant,Swiss Restaurant,Szechuan Restaurant,Taco Place,Taiwanese Restaurant,Tapas Restaurant,Tex-Mex Restaurant,Thai Restaurant,Theme Restaurant,Tonkatsu Restaurant,Turkish Restaurant,Udon Restaurant,Ukrainian Restaurant,Vegetarian / Vegan Restaurant,Venezuelan Restaurant,Vietnamese Restaurant,Wings Joint
0,10001,0,1,10,0,1,3,0,0,1,4,8,0,1,0,3,0,4,0,0,15,0,0,0,0,0,0,9,0,0,0,0,0,0,16,0,3,0,4,0,0,0,0,0,0,0,1,0,0,0,0,6,0,10,2,3,2,0,0,2,0,0,0,0,0,0,0,1,0,1,0,9,0,8,0,0,20,0,1,2,0,2,3,0,0,0,0,4,0,0,0,0,0,0,2,0,9,0,0,0,5,9,0,11,12,0,0,0,0,3,0,0,1,0,0,0,5,0,3,3,0,0,1,0,2,0,3,2,0,1,0,0,1,0,0,0
1,10002,0,0,5,0,1,7,2,1,0,2,16,0,0,0,1,0,2,0,0,12,1,2,0,0,2,0,23,0,0,0,1,0,0,17,2,5,0,3,5,0,0,1,0,0,0,0,1,0,0,1,2,0,5,8,1,0,0,0,3,0,0,0,0,4,0,0,1,0,0,0,6,0,4,0,0,1,0,4,0,1,3,9,0,0,0,0,4,1,1,0,0,0,0,0,1,15,0,0,0,5,1,1,0,10,0,1,1,0,1,0,0,1,0,1,0,2,0,1,5,0,0,2,0,1,0,4,0,0,0,0,0,4,1,5,0
2,10003,0,0,14,0,0,2,1,0,2,6,5,0,0,0,0,0,4,1,0,9,1,0,0,0,0,0,6,0,0,0,1,1,0,7,1,6,0,1,2,1,0,1,0,0,0,1,1,0,0,0,0,1,8,6,2,0,0,0,1,1,0,0,1,0,0,0,5,0,0,2,21,1,18,0,0,3,0,1,1,1,6,15,1,0,1,1,7,1,0,0,0,0,0,0,0,17,1,0,0,4,4,1,8,10,0,4,1,0,1,1,0,0,0,0,0,2,1,3,9,1,1,5,2,1,0,9,0,0,0,3,2,10,0,5,2
3,10004,0,0,6,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,2,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,8,0,3,0,0,3,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,10005,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
5,10006,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10007,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
7,10009,0,0,4,1,1,1,1,0,0,3,4,0,1,1,1,0,2,0,1,4,0,0,1,0,0,1,7,0,0,0,0,1,0,17,0,1,0,2,1,1,0,1,0,1,0,0,1,0,0,1,1,1,2,4,2,1,1,0,2,0,1,1,1,0,0,0,1,0,0,0,10,0,6,0,0,3,0,3,1,0,0,9,1,0,0,1,3,0,0,0,0,0,0,0,1,15,0,1,0,2,4,0,0,4,1,2,0,0,0,0,1,0,1,2,0,2,0,0,7,1,0,2,1,4,0,3,0,0,0,0,0,6,0,6,0
8,10010,0,0,8,0,0,1,0,0,1,5,2,1,0,0,0,0,0,2,0,10,0,0,1,0,0,0,1,0,0,1,0,1,0,5,0,2,0,2,0,0,0,0,1,0,1,1,1,0,0,1,3,0,5,2,1,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,10,0,3,0,1,2,0,2,0,0,5,5,0,0,0,0,5,0,1,0,0,0,0,0,0,8,0,0,0,0,7,0,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,5,0,0,0,0,0,2,0,3,0
9,10011,0,0,14,1,0,1,0,0,1,4,9,0,0,0,5,0,6,0,0,16,1,0,1,1,0,0,5,0,0,0,0,2,0,9,0,7,0,6,1,0,0,0,0,0,1,1,0,1,0,0,0,0,7,10,3,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,24,1,9,0,0,3,0,1,0,1,3,9,4,0,0,0,5,1,0,1,0,0,0,0,0,11,0,0,0,2,5,0,1,7,0,4,0,0,1,0,1,0,0,0,0,1,0,1,9,0,0,2,0,7,0,7,0,0,1,0,0,5,0,3,0
10,10012,0,0,11,0,0,2,3,0,0,2,5,0,0,0,2,0,3,1,0,20,0,0,1,0,0,0,4,0,0,0,1,5,0,2,0,0,1,0,0,1,1,0,0,1,3,0,0,0,0,0,1,0,5,8,0,3,0,1,0,0,0,0,0,0,0,0,5,1,0,0,31,1,7,0,0,0,0,0,1,0,6,7,2,0,0,0,2,1,0,1,0,0,0,0,0,8,0,0,1,2,4,0,2,5,0,5,0,0,1,0,2,0,0,0,0,0,0,0,11,1,0,1,0,1,0,3,1,0,1,1,0,6,0,3,0
11,10013,0,0,12,0,1,6,1,0,0,1,19,0,0,0,1,0,5,0,0,15,0,2,0,0,1,0,23,0,0,0,0,0,0,14,3,3,0,1,2,0,0,0,0,0,1,0,0,0,1,0,2,1,7,9,0,1,0,0,3,0,0,0,0,1,0,0,3,0,0,0,30,0,3,0,0,2,0,2,0,3,4,5,1,1,1,0,3,4,0,0,0,1,0,0,0,6,2,0,0,1,1,0,3,6,0,4,0,3,1,0,0,0,0,0,0,2,0,4,8,0,0,0,2,0,0,1,1,0,0,0,0,2,0,4,0
12,10014,0,0,16,0,0,0,0,1,1,0,7,1,2,2,3,0,2,1,1,12,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,4,0,2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,19,9,0,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,26,0,4,0,0,1,0,1,0,0,6,7,1,0,0,0,12,2,0,1,0,0,0,2,0,13,1,0,0,1,4,0,2,6,0,8,0,0,0,0,0,0,0,0,0,1,0,5,5,0,0,5,0,1,1,1,0,0,0,0,0,4,0,0,0
13,10016,0,0,15,0,0,1,1,0,1,5,7,0,0,0,0,0,4,0,1,10,0,0,0,0,0,0,5,0,0,0,0,0,0,14,0,5,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,9,5,1,1,0,0,5,0,1,0,0,0,0,0,11,0,0,0,14,0,7,2,0,13,0,0,0,0,6,9,1,0,0,0,2,0,1,0,0,0,2,1,0,9,1,0,0,2,5,0,4,11,1,0,0,1,0,0,0,0,0,0,0,1,0,3,9,0,0,3,0,1,0,6,0,0,3,0,0,3,0,3,2
14,10017,0,0,5,0,0,4,0,0,0,1,3,0,0,0,0,0,2,2,1,6,0,0,0,0,0,0,0,0,0,0,1,1,0,11,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,1,0,1,0,3,0,0,0,0,0,0,0,3,0,0,0,5,1,7,0,0,0,1,1,1,0,3,3,1,0,0,0,1,2,0,0,0,0,0,0,0,5,1,0,0,0,3,0,2,7,3,5,0,0,0,1,0,0,0,0,0,1,0,6,6,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0
15,10018,0,0,9,0,0,1,0,0,1,1,7,0,1,0,0,0,3,1,0,9,0,0,1,1,0,0,4,0,0,1,0,2,0,4,0,0,0,2,0,0,0,0,0,0,2,2,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,3,0,0,0,10,1,0,0,0,2,0,2,0,0,2,4,0,0,0,0,1,1,0,0,1,0,0,0,0,6,1,0,0,2,1,0,2,9,0,3,0,0,0,0,1,1,0,0,0,0,0,1,4,0,0,3,0,1,0,5,0,0,0,0,0,0,0,0,0
16,10019,0,0,13,1,0,0,0,0,0,1,11,0,1,2,1,1,8,2,1,13,0,0,1,0,0,0,3,1,0,1,0,5,0,15,1,3,0,4,2,0,0,1,0,0,0,2,0,0,0,1,4,0,7,14,2,1,0,0,4,1,0,0,0,0,0,0,3,0,0,0,23,0,14,0,2,1,0,0,1,0,5,11,0,0,0,0,2,2,1,0,0,0,0,1,0,14,2,0,0,6,7,2,4,15,0,5,0,0,1,1,2,1,0,2,1,2,0,7,9,0,0,4,0,0,0,11,0,0,1,0,0,2,0,1,0
17,10020,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18,10021,1,0,6,0,0,2,0,0,2,2,5,0,1,0,1,0,6,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,1,10,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,2,1,0,1,0,0,3,0,0,0,0,0,0,0,0,3,7,0,0,1,0,0,0,2,0,0,3,0,0,2,0,0,0
19,10022,0,0,12,0,0,3,0,0,0,3,5,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,4,0,3,0,1,0,0,0,0,0,1,0,0,0,2,2,0,9,13,1,2,0,0,4,0,0,0,0,0,0,0,6,0,1,0,20,2,5,0,0,1,0,1,2,0,4,8,0,0,0,0,3,0,0,1,0,1,0,0,0,8,0,0,0,4,4,0,5,7,1,4,0,0,0,0,0,0,0,0,1,0,0,10,6,0,1,1,0,0,0,4,0,0,2,0,0,0,0,2,0
20,10023,0,0,11,0,0,1,0,0,1,2,9,0,0,0,0,0,2,0,0,11,0,0,1,0,0,0,4,0,0,0,0,0,0,7,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,1,17,6,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,15,0,3,1,0,0,1,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,8,2,0,0,2,5,0,2,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0
21,10024,0,0,5,0,0,1,0,0,0,5,8,0,0,0,2,0,1,1,0,9,0,0,0,0,0,0,4,0,0,1,1,0,0,8,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,8,4,0,0,0,0,2,0,0,0,0,0,0,0,6,0,1,1,18,0,2,0,0,0,1,0,0,0,5,5,2,0,0,0,1,0,0,0,0,0,0,1,0,9,0,0,0,1,7,0,1,2,0,2,0,0,1,0,0,1,1,1,0,1,0,0,5,0,0,1,0,0,0,4,0,0,1,0,0,3,0,1,0
22,10025,0,0,6,0,0,3,0,0,1,3,3,0,2,0,2,0,4,0,0,11,0,0,1,0,0,0,18,0,0,0,0,1,0,26,0,4,0,4,0,0,0,0,0,1,2,1,0,0,0,0,0,0,14,3,3,2,0,0,2,1,1,0,0,0,1,0,10,0,0,0,11,0,5,0,0,3,3,4,0,1,3,19,0,0,0,0,1,2,0,0,0,0,0,2,0,20,1,0,0,0,3,0,2,6,0,3,0,0,0,0,0,0,0,2,0,0,0,1,5,0,2,0,0,1,0,6,0,0,0,0,0,0,0,3,1
